Name	Image	0	Location	Size	Time	Duration	1	2	3	4	5	6	7	8	9	10	11	12
Stringfish	Stringfish HHD Icon	15000	River (Clifftop)	5	16	9	1	1	1	0	0	0	0	0	0	0	0	1
Sturgeon	Sturgeon HHD Icon	10000	River (Mouth)	6	0	24	1	1	1	0	0	0	0	0	1	1	1	1
Suckerfish	Suckerfish NH Icon	1500	Sea	 6 (Fin)	0	24	0	0	0	0	0	1	1	1	1	0	0	0
Surgeonfish	Surgeonfish HHD Icon	1000	Sea	2	0	24	0	0	0	1	1	1	1	1	1	0	0	0
Sweetfish	Sweetfish HHD Icon	900	River	3	0	24	0	0	0	0	0	0	1	1	1	0	0	0
Tadpole	Tadpole HHD Icon	100	Pond	1	0	24	0	0	1	1	1	1	1	0	0	0	0	0
Tilapia	Tilapia NH Icon	800	River	3	0	24	0	0	0	0	0	1	1	1	1	1	0	0
Tuna	Tuna HHD Icon	7000	Pier	6	0	24	1	1	1	1	0	0	0	0	0	0	1	1
Whale shark	Whale Shark HHD Icon	13000	Sea	6 (Fin)	0	24	0	0	0	0	0	1	1	1	1	0	0	0
Yellow perch	Yellow Perch HHD Icon	300	River	3	0	24	1	1	1	0	0	0	0	0	0	1	1	1
Zebra turkeyfish	Zebra Turkeyfish HHD Icon	500	Sea	3	0	24	0	0	0	1	1	1	1	1	1	1	1	0
